YYYY-MMM,KWH
2014-Jan,8558067.13415247
2014-Feb,6898239.22988442
2014-Mar,6590183.99208265
2014-Apr,6582156.47569297
2014-May,6649562.59847135
2014-Jun,7174538.63651591
2014-Jul,7582345.42178126
2014-Aug,7486346.3169034
2014-Sep,7064148.00169805
2014-Oct,6524713.51820024
2014-Nov,6533602.06816407
2014-Dec,7247376.80303658
